id;isbn;page;data;data_content_type
1;Money Market Account Research distributed;54726;../fake-data/blob/hipster.png;image/png
2;online;29452;../fake-data/blob/hipster.png;image/png
3;Future Human;72879;../fake-data/blob/hipster.png;image/png
4;Auto Loan Account;53328;../fake-data/blob/hipster.png;image/png
5;payment;35067;../fake-data/blob/hipster.png;image/png
6;implement RAM Mouse;94834;../fake-data/blob/hipster.png;image/png
7;Pants;39595;../fake-data/blob/hipster.png;image/png
8;Grass-roots quantifying;81591;../fake-data/blob/hipster.png;image/png
9;Gloves Car;68408;../fake-data/blob/hipster.png;image/png
10;drive New Zealand;93026;../fake-data/blob/hipster.png;image/png
